Title,Body
"can't send email to addresses at my own domain","<p>I have a simple php script on my domain that sends me an email:</p>

<pre><code>...
$toMail = ""me@gmail.com""; //this works - I get the email at my gmail
$toMail = ""me@mydomain.com""; //this doesn't - I get nothing

mail($toMail, $subject, $message, $header); 
</code></pre>

<p>What setting to I change to fix this?</p>
"
"Python how do i send multiple files in the email. I can send 1 file but how to send more than 1","<p>I have the following code to send a html file SeleniumTestReport_part1.html in an email in Python.
I want to send more than 1 file in the email.  How do can i do this?</p>

<p>The files I want to send are:
SeleniumTestReport_part1.html
SeleniumTestReport_part2.html<br>
SeleniumTestReport_part3.html</p>

<p>My code to send 1 file is:</p>

<pre><code>def send_selenium_report():
    fileToSend = r""G:\test_runners\selenium_regression_test_5_1_1\TestReport\SeleniumTestReport_part1.html""
    with open(fileToSend, ""rt"") as f:
        text = f.read()
    msg = MIMEText(text, ""html"")
    msg['Subject'] = ""Selenium ClearCore_Regression_Test_Report_Result""
    msg['to'] = ""4_server_dev@company.com""
    msg['From'] = ""system@company.com""

    s = smtplib.SMTP()
    s.connect(host=SMTP_SERVER)
    s.sendmail(msg['From'], msg['To'], msg.as_string())
    s.close()
</code></pre>

<p>Thanks,
Riaz</p>
"
"PHPMailer SMTP configuration","<p>For the past 2 hours I've been looking online to see if any other people encountered this problem, and it seems a lot has, bot none of the answers are working for me.</p>

<pre><code>SMTP -&gt; FROM SERVER:220 mx.google.com ESMTP vq7sm928004oeb.13 
SMTP -&gt; FROM SERVER: 250-mx.google.com at your service, [50.57.114.141] 250-SIZE 35882577 250-8BITMIME 250-STARTTLS 250 ENHANCEDSTATUSCODES 
SMTP -&gt; FROM SERVER:220 2.0.0 Ready to start TLS 
SMTP -&gt; FROM SERVER: 250-mx.google.com at your service, [50.57.114.141] 250-SIZE 35882577 250-8BITMIME 250-AUTH LOGIN PLAIN XOAUTH XOAUTH2 250 ENHANCEDSTATUSCODES 
SMTP -&gt; FROM SERVER:530-5.5.1 Authentication Required. Learn more at 530 5.5.1 http://support.google.com/mail/bin/answer.py?answer=14257 vq7sm928004oeb.13 
SMTP -&gt; ERROR: MAIL not accepted from server: 530-5.5.1 Authentication Required. Learn more at 530 5.5.1 http://support.google.com/mail/bin/answer.py?answer=14257 vq7sm928004oeb.13 
The following From address failed: my@email.com

$mail-&gt;IsSMTP();
$mail-&gt;SMTPDebug = 2;
$mail-&gt;SMPTAuth = true;
$mail-&gt;SMTPSecure = 'tls';
$mail-&gt;Host = ""smtp.gmail.com"";
$mail-&gt;Mailer = ""smtp"";
$mail-&gt;Port = 587;
$mail-&gt;Username = ""my@email.com"";
$mail-&gt;Password = ""password"";
</code></pre>

<p>I've tried almost every setting for PHPMailer, but can't figure out what's still going wrong, are there any server settings I need to take care of?</p>

<p>I also tried the normal php mail() function, but that's not sending mail either, although when using Drupal forms it just sends an email.</p>
"
"I get a error ""{ Error: Invalid login: 535-5.7.8 Username and Password not accepted."" when I try send a mail with the module nodemailer from Node JS","<p>I am new in Node js and I try send a message like example to other e-mail and when I run the file in the terminal from linux I get this error:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>root@me:/home/memee/Desktop/test/NodeJS/mail# nano example.js
root@me:/home/memee/Desktop/test/NodeJS/mail# node example.js
{ Error: Invalid login: 535-5.7.8 Username and Password not accepted. Learn more at
535 5.7.8  https://support.google.com/mail/?p=BadCredentials 77-v6sm41437784pga.40 - gsmtp
    at SMTPConnection._formatError (/home/memee/Desktop/test/NodeJS/mail/node_modules/nodemailer/lib/smtp-connection/index.js:606:19)
    at SMTPConnection._actionAUTHComplete (/home/memee/Desktop/test/NodeJS/mail/node_modules/nodemailer/lib/smtp-connection/index.js:1335:34)
    at SMTPConnection._responseActions.push.str (/home/memee/Desktop/test/NodeJS/mail/node_modules/nodemailer/lib/smtp-connection/index.js:366:26)
    at SMTPConnection._processResponse (/home/memee/Desktop/test/NodeJS/mail/node_modules/nodemailer/lib/smtp-connection/index.js:762:20)
    at SMTPConnection._onData (/home/memee/Desktop/test/NodeJS/mail/node_modules/nodemailer/lib/smtp-connection/index.js:558:14)
    at TLSSocket._socket.on.chunk (/home/memee/Desktop/test/NodeJS/mail/node_modules/nodemailer/lib/smtp-connection/index.js:510:47)
    at emitOne (events.js:116:13)
    at TLSSocket.emit (events.js:211:7)
    at addChunk (_stream_readable.js:263:12)
    at readableAddChunk (_stream_readable.js:250:11)
  code: 'EAUTH',
  response: '535-5.7.8 Username and Password not accepted. Learn more at\n535 5.7.8  https://support.google.com/mail/?p=BadCredentials 77-v6sm41437784pga.40 - gsmtp',
  responseCode: 535,
  command: 'AUTH PLAIN' }</code></pre>
</div>
</div>
</p>

<p>I understand that my error is the login but my password and email is correct.</p>

<p>My code :</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var nodemailer = require('nodemailer');

var transporter = nodemailer.createTransport({
  service: 'gmail',
  auth: {
    user: 'example@gmail.com',
    pass: 'here I put my password'
  }
});

var mailOptions = {
  from: 'from@gmail.com',
  to: 'to@gmail.com',
  subject: 'Sending Email using Node.js',
  text: 'That was easy!'
};

transporter.sendMail(mailOptions, function(error, info){
  if (error) {
    console.log(error);
  } else {
    console.log('Email sent: ' + info.response);
  }
});</code></pre>
</div>
</div>
</p>

<p>my version of node and npm :</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>root@me:~# node --version
v8.11.3
root@me:~# npm --v
6.1.0
root@me:~# </code></pre>
</div>
</div>
</p>

<p>I used this tutorial :<a href=""https://www.w3schools.com/nodejs/nodejs_email.asp"" rel=""noreferrer"">tutorial</a></p>
"
"Laravel: Use Email and Name in Mail::to","<p>I have a contact form where someone provides his name and email. I want to send him an email now with Laravel. </p>

<p>I found in the <a href=""https://laravel.com/docs/5.5/mail#sending-mail"" rel=""noreferrer"">docs</a></p>

<blockquote>
  <p>To send a message, use the to method on the Mail facade. The to method
  accepts an email address, a user instance, or a collection of users.</p>
</blockquote>

<p>and in fact</p>

<blockquote>
  <p>\Mail::to('example@gmail.com')->send(new \App\Mail\Hello);</p>
</blockquote>

<p>works. But is it also possible to provide the <strong>name</strong> for the email receipt?</p>

<p>I wanted to look that up in the Laravel API for the <a href=""https://laravel.com/api/5.5/Illuminate/Support/Facades/Mail.html"" rel=""noreferrer"">Mail Facade</a> but to my surprise the facade has no <strong>to</strong> function? </p>

<p>So how can I find out what the <strong>to</strong> function really does and if I can pass a name parameter as well?</p>
"
"How Can I put a HTML link Inside an email body?","<p>I have an application that can send mails, implemented in Java. I want to put a HTML link inside de mail, but the link appears as normal letters, not as HTML link...
How can i do to inside the  HTML link into a String? I need special characters? thank you so much</p>
<p><strong>Update:</strong>
HI evereybody! thanks for oyu answers! Here is my code:</p>
<pre><code>public static boolean sendMail(Properties props, String to, String from,
          String password, String subject, String body)
{
    try
    {
        MimeBodyPart mbp = new MimeBodyPart(); 
        mbp.setContent(body, &quot;text/html&quot;); 
        MimeMultipart multipart = new MimeMultipart(); 
        multipart.addBodyPart(mbp); 

        
        
        // Preparamos la sesion
        Session session = Session.getDefaultInstance(props);

        // Construimos el mensaje
        MimeMessage message = new MimeMessage(session);
        message.setFrom(new InternetAddress(from));
        message.setContent(multipart);
        message.addRecipient(
                Message.RecipientType.TO,
                new InternetAddress(to));
        message.setSubject(subject);
        message.setText(body);

        // Lo enviamos.
        Transport t = session.getTransport(&quot;smtp&quot;);
        t.connect(from, password);
        t.sendMessage(message, message.getAllRecipients());

        // Cierre.
        t.close();
        return true;
    }
    catch (Exception e)
    {
        e.printStackTrace();
        return false;
    }
}
</code></pre>
<p>And here the body String:</p>
<pre><code>        String link = &quot;&lt;a href=\&quot;WWW.google.es\&quot;&gt;ACTIVAR CUENTA&lt;/a&gt;&quot;;
</code></pre>
<p>But in the received message the link appears as  the link string, not as HTML hyperlink! I don't understand what happens...</p>
<p>Any solution?</p>
"
"PhpMailer SMTP NOTICE: EOF caught while checking if connected","<p>I got an issue with phpMailer, i can't send any e-mail, and it gives me this error:</p>

<pre><code>2016-03-03 21:32:09 SERVER -&gt; CLIENT: 2016-03-03 21:32:09 SMTP NOTICE: EOF caught while checking if connected 2016-03-03 21:32:09 SMTP Error: Could not authenticate. 2016-03-03 21:32:09 SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting Erreur : SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting 
</code></pre>

<p>This is my code :</p>

<pre><code>&lt;?php require('phpmailer/PHPMailerAutoload.php'); 
$mail = new PHPMailer();
$mail-&gt;IsSMTP();
$mail-&gt;Host = 'ssl://smtp.gmail.com';
$mail-&gt;SMTPAuth= true;
$mail-&gt;Username='myadress@gmail.com';
$mail-&gt;Password='passwordgmail';
$mail-&gt;Port = 587; 
$mail-&gt;SMTPDebug = 2; 
$mail-&gt;SMTPSecure = 'ssl';
$mail-&gt;SetFrom('myadress@gmail.com', 'Name');
$mail-&gt;AddAddress('someone@gmail.com', 'HisName');
$mail-&gt;Subject = 'Subject';
$mail-&gt;Subject = ""Here is the subject"";
$mail-&gt;Body    = ""This is the HTML message body &lt;b&gt;in bold!&lt;/b&gt;"";
$mail-&gt;AltBody = ""This is the body in plain text for non-HTML mail    clients"";
if(!$mail-&gt;Send()) {
echo 'Error : ' . $mail-&gt;ErrorInfo;
} else {
    echo 'Ok!!';
  } 
?&gt;
</code></pre>

<p>I tried all the answers i found, but none of them worked so far. I also tried other ports, the 25 and 465 don't work and give me other errors. If someone could help me please it would be really nice =) . Thank you</p>
"
"Is there a html conditional statement for everything not Outlook?","<p>I found a snippet of code that allows me to target clients that have outlook 2007 or higher.</p>

<p><code>&lt;!--[if gte mso 9]&gt;&lt;![endif]--&gt;</code></p>

<p>Is there anyway to target everything but outlook or outlook 2007 &amp; higher? If you're giving an answer please give working code as I've tried</p>

<p><code>&lt;!--[if ! mso 9]&gt;</code>
<code>&lt;!--[if ! mso]&gt;</code>
<code>&lt;!--[if !(mso)]&gt;</code></p>

<p>None of the following worked in Gmail with firefox.</p>
"
"Email Template Design with Bootstrap","<p>I have to create a responsive email template design. I have been designing for a while, but never had a chance to create email templates.</p>

<p>Can I use Bootstrap to create email templates, just like I would using a normal web-page with containers, rows and columns?</p>

<p>If not, are there any specific tutorials, templates or considerations that I need to keep in mind?</p>
"
"How to move each emails from inbox to a sub-folder","<p>I seem to be getting issues with moving emails from inbox to a sub-folder of inbox. I always thought my code was working until today. I noticed it's only moving half of the emails. I do not need a ""move all"" code, I have a purpose for this but I just need to move each emails and not all at once (I needed to check each emails). Please take a look at my code below. <code>myNamespace.Folders.Item(1).Folders.Item(2)</code> is my main Inbox.</p>

<pre><code>Sub MoveEachInboxItems()
    Dim myNamespace As Outlook.NameSpace
    Set myNamespace = Application.GetNamespace(""MAPI"")

    For Each Item In myNamespace.Folders.Item(1).Folders.Item(2).Items
        Dim oMail As Outlook.MailItem: Set oMail = Item
           Item.UnRead = True
           Item.move myNamespace.Folders.Item(1).Folders.Item(2).Folders(""Other Emails"")
    Next
End Sub
</code></pre>
"
"'AssertionError' object has no attribute 'message'","<p>I'm dealing with form in django that once its filled sends an email to the user but im getting the following error:</p>
<p><a href=""https://i.sstatic.net/iMweb.png"" rel=""nofollow noreferrer"">error image</a></p>
<p>I have checked in my code and my problem comes from this function:</p>
<pre><code>def send_manually_exception_email(request, e):
  exc_info = sys.exc_info()
  reporter = ExceptionReporter(request, is_email=True, *exc_info)
  subject = e.message.replace('\n', '\\n').replace('\r', '\\r')[:989]
  message = &quot;%s\n\n%s&quot; % (
    '\n'.join(traceback.format_exception(*exc_info)),
    reporter.filter.get_request_repr(request)
  )
  mail.mail_admins(subject, message, fail_silently=True, html_message=reporter.get_traceback_html())
</code></pre>
<p>What can I do?</p>
"
"PHP E-Mail Encoding?","<p>I am having some trouble with foreign characters when sending an e-mail. Could someone advise me on what to do? I suspect the problem could be one of three things.</p>

<ol>
<li>The html page encoding is incorrect. (Would this affect the POST data from the form?)</li>
<li>The mail function doesn't have any encoding. Thus the program doesn't know how to read it. (Most likely)</li>
<li>The file itself doesn't have the right encoding and thus is making problems. (Probably quite unlikely)</li>
</ol>

<p>Are there any other possible causes?</p>

<p>I am trying to knock these out 1 by 1 until I find the problem. I think that option 2 is the most likely cause. How do I add proper - universal encoding to a mail function?</p>

<p>This is what I have at the moment.</p>

<pre><code>$mail_sent = mail($client_email, $title, $message, ""From: {$visitor_email}"");
</code></pre>

<p>I am currently aware that form does not send polish or Swedish characters.</p>

<p>I would be very grateful if someone could point out any other possible causes and tell me what encoding I need to use to send e-mails.</p>

<p>Thanks a lot.</p>
"
"HTML margins not supported in Outlook","<p>I am developing an email template which has the spacing as dynamic, so I made the position as margin, for example:</p>
<pre><code>&lt;td width=&quot;264px&quot; bgcolor=&quot;#9ac5db&quot; style=&quot;font-family:arial;font-size:12px;color:#000000;padding: 10px 5px 30px;&quot; valign=&quot;top&quot;&gt;
    &lt;div name=&quot;nltitle&quot; id=&quot;nltitle&quot; style=&quot;font-family:arial;font-size:14px;color:#000000;display:block;text-align:center;margin:15px 0px 15px 0px;&quot;&gt;&lt;b&gt;Test App&lt;/b&gt;&lt;/div&gt;
                             
    &lt;hr width=&quot;100%&quot; color=&quot;#ffffff&quot; size=&quot;3px&quot;&gt;
                                         
    &lt;div style=&quot;margin:10px 10px 30px 10px;text-align: left&quot;&gt;
        Test App       
    &lt;/div&gt;                             
&lt;/td&gt;
</code></pre>
<p>Here I used padding and margin for setting the spaces dynamically, but it is not working in Outlook. How can I fix this issue? Any Help is highly appreciated.</p>
<p>Cheers,</p>
<p>George</p>
"
"Html emails <hr/> styling issue","<p>I have a problem with e-mail clients reverting my styled <code>&lt;hr/&gt;</code> to one with just a solid line.</p>

<p>The following is my mark-up, looks fine in Chrome and IE but Outlook always reverts the dotted line to a solid one.</p>

<pre><code>&lt;hr style=""background:none; border:dotted 1px #999999; border-width:1px 0 0 0; height:0; width:100%; margin:0px 0px 0px 0px; padding-top:10px;padding-bottom:10px;"" &gt;&lt;/hr&gt;
</code></pre>

<p>I have looked at Campaign Monitor but nothing particular to guide me there.</p>

<p>All answers appreciated.</p>
"
"PHPMailer, SMTP connect() failed error with Gmail","<p>I’m trying to make a contact form and I’m using PHPMailer. I tried that on localhost with xampp and it works perfect. But when i upload to my host i get the error SMTP connect() failed.</p>

<p>Here is my code:</p>

<pre><code>$m = new PHPMailer;

$m-&gt;isSMTP();
$m-&gt;SMTPAuth = true;

$m-&gt;Host = ""smtp.gmail.com"";
$m-&gt;Username = ""mymail@gmail.com"";
$m-&gt;Password = ""mypass"";
$m-&gt;SMTPSecure = ""ssl"";
$m-&gt;Port = ""465"";

$m-&gt;isHTML();

$m-&gt;Subject = ""Hello world"";
$m-&gt;Body = ""Some content"";

$m-&gt;FromName = ""Contact"";

$m-&gt;addAddress('mymail@gmail.com', 'Test');
</code></pre>

<p>I've tried to change the port to 587 and the SMTPsecure to tls (and all the combinations). But doesn’t work. Any advice to solve this?</p>

<p>Thanks</p>
"
"how to send smtp mail from localhost","<p>I always get this message when trying to send email from my local host. </p>

<p>SMTP Error: Could not connect to SMTP host. Message could not be sent.
Mailer Error: SMTP Error: Could not connect to SMTP host.</p>

<p>below is my code:  please help</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""true"">
<div class=""snippet-code snippet-currently-hidden"">
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;?php

// $email and $message are the data that is being
// posted to this page from our html contact form
$email = $_REQUEST['email'] ;
$message = $_REQUEST['message'] ;

// When we unzipped PHPMailer, it unzipped to
// public_html/PHPMailer_5.2.0
require(""class.phpmailer.php"");

$mail = new PHPMailer();

// set mailer to use SMTP
$mail-&gt;IsSMTP();

// As this email.php script lives on the same server as our email server
// we are setting the HOST to localhost
$mail-&gt;Host = ""localhost"";  // specify main and backup server

$mail-&gt;SMTPAuth = true;     // turn on SMTP authentication

// When sending email using PHPMailer, you need to send from a valid email address
// In this case, we setup a test email account with the following credentials:
// email: send_from_PHPMailer@bradm.inmotiontesting.com
// pass: password
$mail-&gt;Username = ""project@reliable.com.pk"";  // SMTP username
$mail-&gt;Password = ""Nov112014""; // SMTP password

// $email is the user's email address the specified
// on our contact us page. We set this variable at
// the top of this page with:
// $email = $_REQUEST['email'] ;
$mail-&gt;From = $email;

// below we want to set the email address we will be sending our email to.
$mail-&gt;AddAddress(""mani9418@gmail.com"", ""Usman Ali Siddiqui"");

// set word wrap to 50 characters
$mail-&gt;WordWrap = 50;
// set email format to HTML
$mail-&gt;IsHTML(true);

$mail-&gt;Subject = ""You have received feedback from your website Etutionhub!"";

// $message is the user's message they typed in
// on our contact us page. We set this variable at
// the top of this page with:
// $message = $_REQUEST['message'] ;
$mail-&gt;Body    = $message;
$mail-&gt;AltBody = $message;

if(!$mail-&gt;Send())
{
   echo ""Message could not be sent. &lt;p&gt;"";
   echo ""Mailer Error: "" . $mail-&gt;ErrorInfo;
   exit;
}

echo ""Message has been sent"";
?&gt;</code></pre>
</div>
</div>
</p>
"
"Sending email with CC BCC and sender's address in unix mailx","<p>I want to send email from HP unix using mailx command.
I have to include cc and bcc in my email and have to use the specific email address as the sender.</p>

<p>But -r (which is to define the sender's email address) will disalbe ~ commands so if i have to define the sender's email address, i cannot use ~c and ~b commands for cc and bcc.</p>

<p>Is there any work around???? cos these are the requirements from the user.</p>

<p>Thanks.</p>
"
"How to deal with self-signed TLS certificates in Laravel's SMTP driver?","<p>I'm trying to send an email with this configuration:</p>

<p>

<pre><code>return [

    'driver'     =&gt; 'smtp',

    'host'       =&gt; 'mail.mydomain.com',

    'port'       =&gt; 26,

    'from'       =&gt; ['address' =&gt; 'mailer@mydomain.com', 'name' =&gt; 'Mailer'],

    'encryption' =&gt; 'tls',

    'username'   =&gt; env('MAIL_USERNAME'),

    'password'   =&gt; env('MAIL_PASSWORD'),

    'sendmail'   =&gt; '/usr/sbin/sendmail -bs',

    'pretend'    =&gt; false,

];
</code></pre>

<p>When I submit the form I receive this erorr:</p>

<pre><code>ErrorException in StreamBuffer.php line 95:
stream_socket_enable_crypto(): SSL operation failed with code 1.
OpenSSL Error messages:
error:14090086:SSL routines:SSL3_GET_SERVER_CERTIFICATE:certificate verify failed
</code></pre>

<p>I found this solution where people seems to have solved the problem with the same library but I cant manage to solve it in Laravel.</p>

<p><a href=""https://github.com/PHPMailer/PHPMailer/issues/368"" rel=""noreferrer"">https://github.com/PHPMailer/PHPMailer/issues/368</a></p>
"
"Suggestions for Java email templating?","<p>we have an application that needs to send out various different types of template email.  The current code is very cumbersome and not very flexible.  Does any one konw of a library to help with this type of work... We are looking for some kind of templating library for email.</p>
"
"""Reply-to"" field in Laravel mail is not working","<p>I need help to figure out how to set the <code>reply-to</code> field in <code>app/config/mail.php</code>. I'm using Laravel 4 and it's not working. This is my <code>app/config/mail.php</code>:</p>

<pre><code>&lt;?php

return array(
    'driver' =&gt; 'smtp',
    'host' =&gt; 'smtp.gmail.com',
    'port' =&gt; 587,
    'from' =&gt; [
        'address' =&gt; 'sender@domain.com',
        'name' =&gt; 'E-mail 1'
    ],
    'reply-to' =&gt; [
        'address' =&gt; 'replyto@domain.com',
        'name' =&gt; 'E-mail 2'
    ],
    'encryption' =&gt; 'tls',
    'username' =&gt; 'sender@domain.com',
    'password' =&gt; 'pwd',
    'pretend' =&gt; false,
);
</code></pre>
"
"Sending multiple CC's and BCCs with PHP PEAR MAIL","<p>I have a project that I am working on at my job and I am using Pear's mailing.  I need to use smtp because we need to be able to track everything from our mailserver.  And users need to be able to log in before sending a company based email.  We cannot use php's mail function fo this.</p>

<p>My problem is that I cant find any documentation on the net for sending CC and Bcc as well as sending multiple BCCs.  It is very easy to do with php' mail funciton .  All you do is add it to the $header variable like so</p>

<pre><code>$headers .= 'Cc: birthdayarchive@example.com' . ""\r\n"";
$headers .= 'Bcc: birthdaycheck@example.com' . ""\r\n"";
</code></pre>

<p>This is my code for the php function where I use PEAR</p>

<pre><code>function sender_mail($email,$subject,$mailmsg, $cc, $bcc){

    include(""Mail.php"");
    /* mail setup recipients, subject etc */

    //DEFAULT VALUE OF FROM 
    $from = ""noreply@addata.net"";

    //GET EMAIL OF USER
    $result = mysql_query(""SELECT email, email_pass FROM u_perinfo WHERE user_id = '$_SESSION[uid]'"")
    or die(""There was an error when grabbing your email information"");
    if(mysql_num_rows($result) &gt; 0){
        $row = mysql_fetch_array($result);
        if($row[0] != ''){
            $from = $row[0];
        }
        $email_pass = $row[1];
    }

    $recipients = ""$email"";
    $headers[""From""] = ""$from"";
    $headers[""To""] = ""$email"";
    $headers[""Subject""] = $subject;
    $headers[""Cc""] = ""$cc"";  //Line added by Me to see if it works
    $headers[""Bcc""] = ""$bcc"";  //Line added by Me to see if it works


    //$mailmsg = ""Welcome to Addatareference.com! \r\n\r\nBelow is your unique login information.  \r\n\r\n(Please do not share your login information.)$accountinfo"";
    /* SMTP server name, port, user/passwd */
    $smtpinfo[""host""] = ""smtp.emailsrvr.com"";
    $smtpinfo[""port""] = ""25"";
    $smtpinfo[""auth""] = true;
    $smtpinfo[""username""] = ""$from"";
    $smtpinfo[""password""] = ""$email_pass"";
    /* Create the mail object using the Mail::factory method */
    $mail_object =&amp; Mail::factory(""smtp"", $smtpinfo);
    /* Ok send mail */
    $mail_object-&gt;send($recipients, $headers, $mailmsg);

}
</code></pre>

<p>I have been trying to find a solution to this with no real info coming back my way.  If someone could help me out with this I would be greatly appreciated.</p>
"
"Sharing URL to Facebook, Twitter and email in Android?","<p>Is there anything similar to getsharekit.com for Android? It allows to share URL's to social networking sites. Is there anything similar to this or do I need to code separately for facebook, Twitter and email?</p>
"
"How to change envelope from address using PHP mail?","<p>I am using PHP with Apache on Linux, with Sendmail. I use the PHP <a href=""http://php.net/manual/en/function.mail.php"" rel=""noreferrer""><code>mail</code></a> function. The email is sent, but the envelope has the <code>Apache_user@localhostname</code> in <code>MAIL FROM</code> (example nobody@conniptin.internal) and some remote mail servers reject this because the domain doesn't exist (obviously). Using <code>mail</code>, can I force it to change the envelope <code>MAIL FROM</code>?</p>

<p>EDIT: If I add a header in the fourth field of the <code>mail</code>() function, that changes the <code>From</code> field in the headers of the body of the message, and DOES NOT change the envelope <code>MAIL FROM</code>.</p>

<p>I can force it by spawning sendmail with <code>sendmail -t -odb -oi -frealname@realhost</code> and piping the email contents to it. Is this a better approach?</p>

<p>Is there a better, simpler, more PHP appropriate way of doing this?</p>

<p>EDIT: The bottom line is I should have RTM. Thanks for the answers folks, the fifth parameter works and all is well.</p>
"
"PHPMailer: You must provide at least one recipient email address","<p>I'm using <a href=""https://github.com/PHPMailer/PHPMailer"" rel=""noreferrer"">PHPMailer</a> on my website, but it returns an error: </p>

<p><strong>You must provide at least one recipient email address.</strong></p>

<p>The server is running PHP 7. I've checked out the following pages looking for answers: </p>

<ul>
<li><a href=""https://stackoverflow.com/questions/8297367/php-mailer-you-must-provide-at-least-one-email-address"">PHP Mailer You must provide at least one email address</a></li>
<li><a href=""https://stackoverflow.com/questions/13188954/php-mailer-error-mailer-error-must-provide-at-least-one-recipient-email-addre"">PHP Mailer Error: Mailer Error - must provide at least one recipient email address</a></li>
<li><a href=""https://github.com/PHPMailer/PHPMailer/issues/441"" rel=""noreferrer"">https://github.com/PHPMailer/PHPMailer/issues/441</a></li>
<li><a href=""https://github.com/PHPMailer/PHPMailer/issues/429"" rel=""noreferrer"">https://github.com/PHPMailer/PHPMailer/issues/429</a></li>
</ul>

<p>None of those solved my problem. </p>

<p>This is the way it's set up: </p>

<pre><code>require_once 'lib/phpmailer/PHPMailerAutoload.php';

$m = new PHPMailer;

$m-&gt;isSMTP();
$m-&gt;SMTPAuth = true;
$m-&gt;SMTPDebug = 2;

$m-&gt;Host = 'smtp.zoho.com';
$m-&gt;Username = 'email@email.com';
$m-&gt;Password = 'password';
$m-&gt;SMTPSecure = 'ssl';
$m-&gt;Port = 465;

$m-&gt;From = 'email@email.com';
$m-&gt;FromName = 'Name';

$m-&gt;Subject = 'Testing PHPMailer';
$m-&gt;Body = 'Body of the email. Testing PHPMailer.';

if (!$m-&gt;send()) {
    echo 'Mailer Error: ' . $m-&gt;ErrorInfo;
} else {
    echo 'Everything OK.';
}
</code></pre>

<p>Doing <code>var_dump(PHPMailer::validateAddress('email@email.com'));</code> returns <code>true</code>. So the email address doesn't seem to be the issue. </p>

<p><strong>EDIT</strong></p>

<p>Adding <code>$m-&gt;AddAddress = email@email.com</code> doesn't solve the issue. It returns the exact same error. </p>

<p><strong>EDIT 2</strong></p>

<p>Have added $m->addAddress('email@email.com') to the code. I had been doing that wrong. It now returns a 500 error. </p>

<p><strong>EDIT 3</strong> </p>

<p>Turns out I mistyped the addAddress in my code (I misplaced a quote, which caused the 500 error). The provided answer stands. I did not properly add a recipient. </p>

<p>My apologies for troubling you with this. I should've more carefully looked at the PHPMailer example provided, instead of blindly following a third part tutorial. </p>
"
